X,CH1,
Second,Volt,
-1.2438000e-01,-8.00000e-03,
-1.2435999e-01,-8.00000e-03,
-1.2433999e-01,-1.00000e-02,
-1.2431999e-01,-1.00000e-02,
-1.2430000e-01,-8.00000e-03,
-1.2428000e-01,-8.00000e-03,
-1.2426000e-01,-1.00000e-02,
-1.2423999e-01,-1.00000e-02,
-1.2421999e-01,-1.00000e-02,
-1.2419999e-01,-1.00000e-02,
-1.2418000e-01,-1.00000e-02,
-1.2416000e-01,-1.00000e-02,
-1.2413999e-01,-1.00000e-02,
-1.2411999e-01,-8.00000e-03,
-1.2409999e-01,-1.00000e-02,
-1.2407999e-01,-8.00000e-03,
-1.2406000e-01,-1.00000e-02,
-1.2404000e-01,-1.00000e-02,
-1.2401999e-01,-1.00000e-02,
-1.2399999e-01,-1.00000e-02,
-1.2397999e-01,-1.00000e-02,
-1.2396000e-01,-1.00000e-02,
-1.2394000e-01,-1.00000e-02,
-1.2392000e-01,-8.00000e-03,
-1.2389999e-01,-1.00000e-02,
-1.2387999e-01,-8.00000e-03,
-1.2385999e-01,-1.00000e-02,
-1.2384000e-01,-8.00000e-03,
-1.2382000e-01,-1.00000e-02,
-1.2379999e-01,-1.00000e-02,
-1.2377999e-01,-1.00000e-02,
-1.2375999e-01,-1.00000e-02,
-1.2374000e-01,-1.00000e-02,
-1.2372000e-01,-1.00000e-02,
-1.2370000e-01,-1.00000e-02,
-1.2367999e-01,-1.00000e-02,
-1.2365999e-01,-1.00000e-02,
-1.2363999e-01,-1.00000e-02,
-1.2362000e-01,-1.00000e-02,
-1.2360000e-01,-8.00000e-03,
-1.2358000e-01,-8.00000e-03,
-1.2355999e-01,-8.00000e-03,
-1.2353999e-01,-1.00000e-02,
-1.2351999e-01,-1.00000e-02,
-1.2350000e-01,-1.00000e-02,
-1.2348000e-01,-1.00000e-02,
-1.2345999e-01,-1.00000e-02,
-1.2343999e-01,-1.00000e-02,
-1.2341999e-01,-1.00000e-02,
-1.2340000e-01,-8.00000e-03,
-1.2338000e-01,-8.00000e-03,
-1.2336000e-01,-8.00000e-03,
-1.2333999e-01,-1.00000e-02,
-1.2331999e-01,-8.00000e-03,
-1.2329999e-01,-1.00000e-02,
-1.2328000e-01,-1.00000e-02,
-1.2326000e-01,-1.00000e-02,
-1.2324000e-01,-1.00000e-02,
-1.2321999e-01,-1.00000e-02,
-1.2319999e-01,-1.00000e-02,
-1.2317999e-01,-1.00000e-02,
-1.2316000e-01,-8.00000e-03,
-1.2314000e-01,-8.00000e-03,
-1.2311999e-01,-1.00000e-02,
-1.2309999e-01,-1.00000e-02,
-1.2307999e-01,-1.00000e-02,
-1.2306000e-01,-1.00000e-02,
-1.2304000e-01,-1.00000e-02,
-1.2302000e-01,-1.00000e-02,
-1.2299999e-01,-1.00000e-02,
-1.2297999e-01,-1.00000e-02,
-1.2295999e-01,-1.00000e-02,
-1.2294000e-01,-1.00000e-02,
-1.2292000e-01,-1.00000e-02,
-1.2289999e-01,-1.00000e-02,
-1.2287999e-01,-8.00000e-03,
-1.2285999e-01,-8.00000e-03,
-1.2283999e-01,-8.00000e-03,
-1.2282000e-01,-8.00000e-03,
-1.2280000e-01,-1.00000e-02,
-1.2277999e-01,-8.00000e-03,
-1.2275999e-01,-8.00000e-03,
-1.2273999e-01,-1.00000e-02,
-1.2272000e-01,-8.00000e-03,
-1.2270000e-01,-8.00000e-03,
-1.2268000e-01,-1.00000e-02,
-1.2265999e-01,-1.00000e-02,
-1.2263999e-01,-1.00000e-02,
-1.2261999e-01,-1.00000e-02,
-1.2260000e-01,-1.00000e-02,
-1.2258000e-01,-1.00000e-02,
-1.2255999e-01,-1.00000e-02,
-1.2253999e-01,-8.00000e-03,
-1.2251999e-01,-1.00000e-02,
-1.2249999e-01,-1.00000e-02,
-1.2248000e-01,-1.00000e-02,
-1.2246000e-01,-1.00000e-02,
-1.2243999e-01,-1.00000e-02,
-1.2241999e-01,-1.00000e-02,
-1.2239999e-01,-1.00000e-02,
-1.2238000e-01,-1.00000e-02,
-1.2236000e-01,-1.00000e-02,
-1.2234000e-01,-1.00000e-02,
-1.2231999e-01,-1.00000e-02,
-1.2229999e-01,-1.00000e-02,
-1.2227999e-01,-1.00000e-02,
-1.2226000e-01,-1.20000e-02,
-1.2224000e-01,-1.00000e-02,
-1.2221999e-01,-1.00000e-02,
-1.2219999e-01,-1.00000e-02,
-1.2217999e-01,-1.00000e-02,
-1.2216000e-01,-1.00000e-02,
-1.2214000e-01,-8.00000e-03,
-1.2212000e-01,-8.00000e-03,
-1.2209999e-01,-1.00000e-02,
-1.2207999e-01,-1.00000e-02,
-1.2205999e-01,-1.00000e-02,
-1.2204000e-01,-8.00000e-03,
-1.2202000e-01,-8.00000e-03,
-1.2200000e-01,-8.00000e-03,
-1.2197999e-01,-8.00000e-03,
-1.2195999e-01,-8.00000e-03,
-1.2193999e-01,-8.00000e-03,
-1.2192000e-01,-1.00000e-02,
-1.2190000e-01,-1.00000e-02,
-1.2187999e-01,-8.00000e-03,
-1.2185999e-01,-1.00000e-02,
-1.2183999e-01,-1.00000e-02,
-1.2182000e-01,-8.00000e-03,
-1.2180000e-01,-8.00000e-03,
-1.2178000e-01,-8.00000e-03,
-1.2175999e-01,-1.00000e-02,
-1.2173999e-01,-8.00000e-03,
-1.2171999e-01,-1.00000e-02,
-1.2170000e-01,-8.00000e-03,
-1.2168000e-01,-1.00000e-02,
-1.2166000e-01,-8.00000e-03,
-1.2163999e-01,-8.00000e-03,
-1.2161999e-01,-8.00000e-03,
-1.2159999e-01,-1.00000e-02,
-1.2158000e-01,-1.00000e-02,
-1.2156000e-01,-1.00000e-02,
-1.2153999e-01,-1.00000e-02,
-1.2151999e-01,-1.00000e-02,
-1.2149999e-01,-1.00000e-02,
-1.2148000e-01,-1.00000e-02,
-1.2146000e-01,-1.00000e-02,
-1.2144000e-01,-1.00000e-02,
-1.2141999e-01,-1.00000e-02,
-1.2139999e-01,-1.00000e-02,
-1.2137999e-01,-8.00000e-03,
-1.2136000e-01,-1.00000e-02,
-1.2134000e-01,-1.00000e-02,
-1.2131999e-01,-1.00000e-02,
-1.2129999e-01,-1.00000e-02,
-1.2127999e-01,-1.00000e-02,
-1.2125999e-01,-1.20000e-02,
-1.2124000e-01,-1.00000e-02,
-1.2122000e-01,-1.00000e-02,
-1.2119999e-01,-1.20000e-02,
-1.2117999e-01,-1.20000e-02,
-1.2115999e-01,-1.20000e-02,
-1.2114000e-01,-1.20000e-02,
-1.2112000e-01,-1.20000e-02,
-1.2110000e-01,-1.00000e-02,
-1.2107999e-01,-1.00000e-02,
-1.2105999e-01,-1.00000e-02,
-1.2103999e-01,-1.00000e-02,
-1.2102000e-01,-1.00000e-02,
-1.2100000e-01,-1.00000e-02,
-1.2097999e-01,-1.00000e-02,
-1.2095999e-01,-8.00000e-03,
-1.2093999e-01,-1.00000e-02,
-1.2092000e-01,-1.00000e-02,
-1.2090000e-01,-1.00000e-02,
-1.2088000e-01,-1.00000e-02,
-1.2085999e-01,-1.00000e-02,
-1.2083999e-01,-1.00000e-02,
-1.2081999e-01,-1.00000e-02,
-1.2080000e-01,-1.00000e-02,
-1.2078000e-01,-1.00000e-02,
-1.2076000e-01,-1.00000e-02,
-1.2073999e-01,-1.00000e-02,
-1.2071999e-01,-1.00000e-02,
-1.2069999e-01,-1.00000e-02,
-1.2068000e-01,-1.00000e-02,
-1.2066000e-01,-1.00000e-02,
-1.2063999e-01,-1.00000e-02,
-1.2061999e-01,-1.00000e-02,
